"Account Name","Vertical","Status","ABC ID","Date"
"Americas Best Value Inn Barstow - 9166656","Hotels","Cancelled","","01/05/2015 06:44 AM"
"Americas Best Value Inn-Battle Creek","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Battle Mountain","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Bay City","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Baytown","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Beaumont","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Beaumont / I-10","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn - Beckley","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Bedford/DFW Airport","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Belleville","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Bell Tower-Centralia","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Belvidere/Rockford","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Bennington","Hotels","Cancelled","","11/05/2015 06:48 AM"
"Americas Best Value Inn-Berea","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn Berkeley","Hotels","Cancelled","","11/05/2015 06:59 AM"
"Americas Best Value Inn-Berkeley/San Francisco","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Biddeford/Portland","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn Bighorn Lodge","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Birch Run","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Birmingham East/Irondale","Hotels","Cancelled","","11/05/2015 06:45 AM"
"Americas Best Value Inn-Bishop","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Bishopville","Hotels","Cancelled","","11/05/2015 06:47 AM"
"Americas Best Value Inn-Bloomington","Hotels","Cancelled","","11/05/2015 06:46 AM"
"Americas Best Value Inn-Blue Springs/Kansas City East","Hotels","Cancelled","","11/05/2015 06:47 AM"
